Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
       Accounts payable,NaN,NaN,NaN,20943025,NaN,33899048,29092451,37254748,NaN,NaN,NaN,NaN,NaN,48882276,51695075,62401908,63088121,79336897,79764998,81057259,90603965,121243113,159411026,190689535,243769049,229893243,361748491,346350802,275560392,336393755,505211961,505211961,430034492,513208421,444390050,492466297,504493070,509016113,533473648,537406923,529084246,582851973,618376583,621403829,566181478,741424108,755704686,844748488
"       Mortgages, notes, bonds payable in less than one year",NaN,NaN,NaN,27810649,NaN,48001839,55691914,73277805,NaN,NaN,NaN,NaN,NaN,86552615,86933328,87570916,116758131,114638421,131148176,125644085,123961301,125889105,126794298,229922243,231808501,252226751,289248638,282684863,273570095,296350178,455621208,455621208,564662688,581693016,432206038,480916174,393589703,326059271,306330841,328111955,351264544,407009913,432531915,452494680,449880826,484300026,493119176,482022713
       Other current liabilities,NaN,NaN,NaN,16804131,NaN,61505617,106336090,129948913,NaN,NaN,NaN,NaN,NaN,86330374,110064162,123879764,168806041,207273367,272979891,290537838,425069642,663329069,839613535,931060110,962470987,923893453,1575392553,1545790568,1761713210,2361630275,3707452028,3707452028,4117267980,3611505624,2805449851,2640691764,2745714787,2806532947,3216716115,3447604886,3495987000,3926840111,4317411403,4968171524,5372874959,5846647422,6419913814,6679863589
       All nonrecourse loans,NaN,NaN,NaN,83746916,NaN,118910380,138134304,154508961,NaN,NaN,NaN,NaN,NaN,436916024,461008315,470139911,474221624,475615076,477709746,463311873,465744743,474197941,492364600,523403560,582151975,639417006,699883406,770277980,799599369,854466687,1102572590,1102572590,1210101896,1283259523,1281654052,1225305419,1212525105,1212390621,1224931576,1254352302,1269695686,1317580568,1378049828,1462092517,1489435134,1627492115,1727577873,1849036548
        Loans from partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139111031,179500158,201449049,259673194,293521710,322036189,337279018,303558071,288210061,416698949,426808524,455317380
"       Mortgages, notes, bonds payable in one year or more",NaN,NaN,NaN,114942633,NaN,178044406,196508937,236218378,NaN,NaN,NaN,NaN,NaN,473597425,512127625,496727132,490848692,486374218,488793170,508307609,544253482,607075733,705768931,884452445,988667751,1132180865,1286392538,1375077274,1389224345,1545671581,2226995104,2226995104,2555749230,2767081324,2737341531,2692942535,2559485500,2705801158,2717030076,2993283748,3221869377,3477198579,3844382673,4063880736,4135655218,4780251785,5252022004,5924892257
       Other liabilities,NaN,NaN,NaN,28803143,NaN,48372734,54270061,70421961,NaN,NaN,NaN,NaN,NaN,180808548,213417185,128715928,146547285,144974951,169234813,193082501,236854930,243163159,334060387,391320476,444318126,517896863,622469445,651855431,803492634,853440065,1352233911,1352233911,1562200795,1410611225,1383969620,1461928613,1383980355,1537891328,1640789556,1804837348,1857560452,1988428138,2196830961,2474257706,2639299613,3202014399,3973726434,4089676021
       Partners' capital accounts,NaN,NaN,NaN,60645684,NaN,108769900,135198813,143650646,NaN,NaN,NaN,NaN,NaN,267106948,355781582,315787891,356502000,399131522,498637347,633271057,832159680,1133267724,1513486056,1975699638,2545766494,2998634658,3593082308,3894523181,4371892684,5359745599,7796188572,7796188572,9946116885,9092444710,9713097224,10825955766,11635559587,12737737269,14322405258,15503662951,16347283814,16928097795,19278757487,20002147676,21106786729,26084071702,31783135515,32204573785
Income and deductions from a trade or business: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total income,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498378098,505222543,518994886,515461121,551549871,606190516,703827410,814704090,1002579987,1249789312,1474879256,1754972413,2218639870,2462461787,2582060669,2722174031,3021683261,3553589456,3912905087,4243833029,4700988521,3886378923,4280931741,4787734130,5081418395,5449360304,5603166669,5295334204,5336204494,5950274413,6432734325,5904091783,6542271248,7772495609,9212793590
