Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Other current assets ,0.016318061397017948,0.018999185076200905,0.024304505975535788,NaN,0.03445057494705467,0.03320725827659761,0.04359835185487054,0.045316045703663814,0.051892273933989874,0.054392569614022626,0.06042282002525513,0.06806883238004552,0.07128777353307293,0.07843801862232333,0.08330860839525851,0.08339537729664526,0.08611868450665439,0.08665514953464587,0.08712221866765042,0.08790850650982587,0.09883944669366236,0.1085557694710439,0.09994005439905508,0.13054288383627077,0.11931482196939053,0.12723946351470536,0.144996414133371,0.16137621262499097,0.1723094324350209,0.17419193065973473,0.18182144877853368,0.1952967219976576,0.18405353720261464,0.1968998637645014,0.22417552170944363,0.22808256559825976,0.24019783660431776,0.2533538642175852,0.2782687173449954,0.3021622679791504,0.2740855175258006,0.3128190873394003,0.346213534602245,0.32112063134521135,0.3376318044420392,0.3641821316446098,0.4071724747313811,0.40595590537149245,0.44796908850682743,0.34473986127967887,0.35276599106773027,0.3296760571869,0.3254333980865825,0.32884200229236304,0.3260454632670965,0.3100576908245494,0.2938798610157224,0.2813322410478581,0.2511372144607447,0.25595895522749335,0.2657061285845086,0.32275113019566853,0.3271709192732168,0.3064296648954385
    Loans to shareholders ,NaN,0.0009185518693466966,0.001875124731194271,NaN,0.003732208016315005,0.0023775019723577713,0.0024824077953465563,0.002822652425456164,0.003064968213600881,0.003434195041519118,0.004064189305385632,0.004448028189616538,0.004979673777739623,0.004939361743712425,0.005088880407695934,0.005112698779415277,0.005552622582651593,0.006345722670720589,0.0069077358050096405,0.0077839623167045065,0.009678822212486959,0.0104550368581325,0.009991255490653222,0.011455365754238679,0.0131633995021516,0.014499410666648834,0.0130817024004956,0.013899342982000079,0.014672329237737154,0.015249929818705005,0.014397320254255015,0.015908729354850396,0.013729050170920422,0.013374190895640663,0.012232988008122406,0.011711398532996598,0.012143677102480722,0.014030057145178779,0.013921175062535325,0.014901788262965036,0.013084213115496224,0.015318566314621316,0.017951240081085406,0.01780051574199834,0.018536695049513593,0.015033528724594417,0.03414663341615285,0.037632400022496335,0.03841214564258626,0.01721312541715014,0.049500479104012986,0.017504021902892894,0.016458095241636203,0.01673485609977132,0.01808679163040974,0.027376408169904165,0.02270159987262107,0.02596933615167483,0.034268007427250786,0.03144829515296771,0.029874061872475103,0.03371252036405978,0.030319539215899083,0.03388014441511204
    Mortgage and real estate loans,0.22592554835197276,0.23853281451080605,0.25324782954381736,NaN,NaN,NaN,NaN,0.2184475138121547,0.2964510447591106,0.2949449200606814,0.2949049237678297,0.30521982515654944,0.31390980641284283,0.3267880276129496,0.32475546662775295,0.32900822524353773,0.3252734179514085,0.3196624869489466,0.31764085375050555,0.3240545288546219,0.32004929104913615,0.3129952395734865,0.2911323222871176,0.28184441930995047,0.2703370239936952,0.27911593161603154,0.2900849663019803,0.3007756415309443,0.2997235411820074,0.3064862981286134,0.28541860010848025,0.257900804676191,0.24836681677178246,0.24030824589012176,0.23719459233346246,0.22792553514117012,0.22426298769763248,0.22607304163123015,0.23650517385379885,0.2664625508823581,0.2652489505950055,0.2752435246014224,0.3051400673733494,0.33737257084475697,0.3555148519829441,0.3786940676076573,0.36635348050957434,0.37867954765282075,0.3576590477226143,0.36901050185844664,0.33477365065377857,0.5258705216456327,0.4881680355790728,0.46628197320408493,0.44627711029227907,0.4262828279742015,0.4455234769638665,0.43563485499773386,0.4306790092158403,0.42439994663185215,0.5168765428401937,0.5407889937446905,0.5501503355124803,0.5255834768459821
    Other investments ,0.3193400740720861,0.32987180621775797,0.3388497373752466,NaN,0.6008536779355244,0.6262027934430061,0.6242556511008516,0.39306165618000183,0.33020821574051784,0.35040123807873486,0.36404540715299993,0.37397549620191123,0.39098624801476584,0.396817290928849,0.38521907552814133,0.3689616371017374,0.3716924370765337,0.37313036854680126,0.39422354509935026,0.3694408153771115,0.39123338381545086,0.42487076467456947,0.43287383666127127,0.4799138390610173,0.49484770137241274,0.48861315212725936,0.5562487105837571,0.621824651811467,0.6646950893008857,0.6902475442275837,0.7038705997256088,0.6937432941414797,0.7713093736750237,0.7623182774422204,0.8311877878428982,0.8597588657757207,0.972462453151275,1.0723801277869949,1.2539740400291366,1.45662433909898,1.6404067372070605,1.743628633223529,1.7334764471581694,1.7135525539687229,1.7925231731470046,1.8545221476351856,1.9296916442017096,2.0196921039814244,2.137501116605321,1.8394833456805486,1.9045018595369119,1.952916213872696,1.9067502966717633,1.9784456741337655,2.0590266126080325,2.106577726844258,2.0313997692486683,2.0906853911528334,2.2010061288687974,2.1551893038496908,2.1520016201034893,2.3806772965932,2.5737617927352447,2.1915236089853414
    Depreciable assets ,0.761362719350374,0.78445530825138,0.8050953577762007,0.7914293186868503,0.7901034763510864,0.7861634105718377,0.7828104660044808,0.7754802339276187,0.7909028000172101,0.7792206408115231,0.7961977604496789,0.8095645106740593,0.7909333862729107,0.7773101382992862,0.7570005163549828,0.7630937082387689,0.7576482102244401,0.7379969600920673,0.7378195675335019,0.7213018482317776,0.7218574432704191,0.7374174052700673,0.7335906656634573,0.7724950126936837,0.7513327317986218,0.721540580040732,0.7315531255163945,0.7386089750462428,0.742080606317125,0.7296872009178759,0.7213892276631724,0.7240780118675652,0.7387073400053815,0.7292801813467331,0.7244902964310724,0.72511676621973,0.7292310913617712,0.7337059862343217,0.7237771635776734,0.7217712487188034,0.7201099734279484,0.7113484443200982,0.7194898472669775,0.7024933966248663,0.6812361757787098,0.6526817284424348,0.6454201976548096,0.6381992993708626,0.6371072395709119,0.6409351457718427,0.6640010338396694,0.6562183081487765,0.6555160548270957,0.65659992432618,0.664082751272564,0.673115994604313,0.6750498057968675,0.6742672663255608,0.6690067636299261,0.6676004796258963,0.6773743193007311,0.6810057494916675,0.6524230702684796,0.6468934157305113
    Depletable assets ,0.02319228645807374,0.022809471922003312,0.023252286960898882,NaN,0.02287813318691662,0.024000508430003214,0.02432152571303091,0.022060128052873443,0.02176660747779836,0.021592252599529474,0.017898027249991403,0.01725259689016056,0.019129428681804523,0.018258705662530978,0.021663856414026895,0.023994040419532722,0.022856730116374582,0.023039385356771493,0.024877667489982352,0.01903829692052089,0.021944457744792912,0.02516407582384392,0.02622320419352294,0.028302553779559654,0.0297075132400927,0.02843472888560642,0.025890742730029347,0.025331835468840175,0.02535503453503089,0.02376080228582865,0.02382179265383102,0.021695022457951713,0.02301970890833888,0.020035295469076935,0.019951321407310194,0.020257001420017136,0.020097865387985914,0.020878614865475834,0.02069277598083929,0.021259243566321598,0.01906241659893521,0.018666884792749004,0.01878446812485701,0.020709477113777262,0.020687413814925216,0.022067330998045705,0.023791269968541775,0.027667695601408932,0.034327565725785165,0.039760709747999,0.04343405055384811,0.043947210144799936,0.04852851574629615,0.05262861264048106,0.054638785350095136,0.05854052711308828,0.05675165786928125,0.04909307870767602,0.04677296288791482,0.04573747160460167,0.04285309347055165,0.03861551270366925,0.03399938522219312,0.034989067809640166
    Land ,0.03308655353931916,0.035105510507354595,0.03805262633646918,NaN,0.040604830182759434,0.041204524734827455,0.04190717900979268,0.0418839594597585,0.042614685118709146,0.041526881914759034,0.0435888464694408,0.043441746645635014,0.04220190324934541,0.04158512481334678,0.04162698965045013,0.041747054023218357,0.039657574556176495,0.0371606662068995,0.03549160496602502,0.03387241617299548,0.03238270634137355,0.03252430872846355,0.03178818605686675,0.03299219567981114,0.032842358280238126,0.03176853849043977,0.032599456461992554,0.03264945363501994,0.032710781911820586,0.03380877249000179,0.033908771478911935,0.03514577142527499,0.034994142051912196,0.03395337825848305,0.033590159244820963,0.03285614230141579,0.03172103311247529,0.031467248977533106,0.030549547003620614,0.02995645360598145,0.029746855938197345,0.029541832797578216,0.03023585179979945,0.029800182320460188,0.029826498173517974,0.02968072862218139,0.031200555985157676,0.033044877729734606,0.03404353572432326,0.034464215711697235,0.03567773695203925,0.03644163026163051,0.036368857811147015,0.03595601671468571,0.03561650189154076,0.03596375920043335,0.03657324384303728,0.03675857048634046,0.03644786667946149,0.036173292775993786,0.03750168217410767,0.03562706665704184,0.034678826012949276,0.03429412264560895
    Intangible assets (amortizable),0.005705250990119888,0.005632911859169368,0.005897342447381668,NaN,0.005369525452976704,0.00531398620810566,0.005304086413782233,0.007044479195096224,0.008484278901668568,0.008411954061602018,0.011649384099094452,0.011942730058520286,0.00909120401768468,0.009128312654892855,0.006073076858316683,0.007397722558846732,0.007610631228841524,0.007758170119546581,0.007641529599495827,0.014555184791284568,0.014232981506341221,0.015917328449480576,0.017190660175532523,0.024277545323583515,0.02417492332221072,0.029093384878639928,0.03348497999183679,0.046349940639322254,0.05402634589817341,0.06292151687845822,0.07766209909280733,0.08238150998869052,0.07953430173352978,0.08107501786336789,0.08150568114964091,0.08651287538924222,0.098061700325495,0.11440522377835985,0.13022166639152988,0.1518622845413297,0.17830139779457785,0.2191512957040478,0.23386644448285374,0.2153392345468633,0.21138373780708683,0.22692507945358328,0.23431681950966765,0.2533803206133248,0.28088293323830466,0.28140880666319024,0.3082674484100674,0.30419970455122813,0.30945867345669786,0.3186970607180892,0.3218341102075076,0.32931341899978295,0.3492784737747471,0.3630802294591844,0.37220908136211,0.3758229856864536,0.39203455267511367,0.389776706888672,0.39784747567452855,0.4052896132715687
    Other assets,0.04887541358831716,0.052101279172243914,0.054368483962369867,NaN,0.05527743195544749,0.05806178301142507,0.05129516805449091,0.04541851873707608,0.04984923350996966,0.05294293739123224,0.059557711904797,0.06506870660009335,0.06672519122633816,0.06715116917231513,0.06935772525986125,0.07959657283676419,0.07185315305797838,0.06411105725809378,0.06300619264049925,0.06507236225223774,0.06703003806521671,0.06545152690977904,0.10831740286450968,0.10830411578003277,0.13063360427161191,0.1290678618777976,0.13435182285970962,0.13851105187295656,0.16846906388285585,0.1698340709848947,0.164105566171179,0.1765082805312097,0.1659570030117914,0.17456475879200536,0.1856974281332274,0.20294171878061862,0.21832555742341797,0.2139816259434702,0.22831154553187202,0.23165275388436068,0.2198726707403834,0.2778932035775799,0.291711594266036,0.3135268996335291,0.2953087707797791,0.3109939765229272,0.3159366898897225,0.319796108061455,0.3629761819421388,0.41415181990190564,0.37677241236692716,0.35351740102363144,0.32731796135984903,0.3088610559758631,0.2826159899454305,0.3839514157033526,0.3818318619947867,0.38102355044131286,0.3408917880908431,0.24687872194904503,0.27566783653765353,0.2904211529195803,0.2829855708875354,0.31202862679140053
    Less:  Allowance for bad debts,0.008983797689656361,0.009397529785280485,0.010339229717062515,NaN,0.013199455643579888,0.016868169067586126,0.017868413784927435,0.017096350689808634,0.017072674394942085,0.017558501505871998,0.018043293386988204,0.01866232275508407,0.018028768510967078,0.01797566511089742,0.01734928117212581,0.020299407277690307,0.01841825884442081,0.017094297463665226,0.016497751973507873,0.01624610190768069,0.016290463371030624,0.01751905098052117,0.013981983392167422,0.013950039012629086,0.014078722622052934,0.013458712115301788,0.014192356081926186,0.01620838578479358,0.019608574079623662,0.018475208720126163,0.01843930937786932,0.01845670555666608,0.01860567324913135,0.01820499002580699,0.017074142979596734,0.01580218988379133,0.01588270923560447,0.014769703715613366,0.014318834557925151,0.014137950374591035,0.014494330596525532,0.01446589555779795,0.017040126048851773,0.016920324513217365,0.014527790109501634,0.013611634944712354,0.01307342668417388,0.012054319242264333,0.013518631598175736,0.018674294248653103,0.021720879658866064,0.021135091030476436,0.017603874092195944,0.015081346649464715,0.01320631487481875,0.011911752508981927,0.011184917654362643,0.011591305367911035,0.011336485145753371,0.01061129751987218,0.010556488069488638,0.015453308286333171,0.012426262510460728,0.012995718032898127
