Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Addendum(A.1): Investments in Government Obligations  (1959-60 & 1969-81) = sum(l.23:l.25) ],0.086851,0.10215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.372949,NaN,NaN,NaN,0.197872,NaN,0.28894,NaN,0.382031,0.398325,0.355256,0.281858,0.414168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (A.1.1): Investments in GO(State, Territory, possession) (1959-60 & 1969-81)",0.018342,0.017742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040085,NaN,NaN,NaN,0.072297,NaN,0.12287,NaN,0.134982,0.097817,0.094086,0.079266,0.094073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (A.1.2):  Investments in GO(US) (1959-60 & 1969-81),0.052516,0.068064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.332864,NaN,NaN,NaN,0.125575,NaN,0.16607,NaN,0.247049,0.300508,0.26117,0.202592,0.320095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (A.1.3):  Investments in GO(Not Stated) (1959-60 & 1969-81),0.015993,0.016344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Total liabilities  [ =sum(l.27:l.33) ],7.633413,9.334835,NaN,12.679545,14.833675,16.877964,19.239447,21.351389,24.234096,26.428777,31.976473,33.397424,34.745158,40.54302,48.934906,53.919325,55.529316,62.19704,71.570536,79.448133,85.777842,87.412922,91.171986,110.51289,142.211607,180.17341,207.935175,250.975543,443.723257,584.533143,687.394399,744.307752,769.648961,808.090676,870.298964,943.67974,1017.592855,1100.360936,1307.473289,1455.483439,1628.692515,1790.711766,1883.045385,2016.708482,2186.582412,2437.711147,2736.981803,3048.770219,3324.336756,3367.303575,3240.100938,3324.883416,3441.159883,3593.278237,3741.797771,3990.973368,4144.561136,4340.405858,4520.485499,4504.690021,4668.546217,5036.862574,5569.733713,5952.691882
    Accounts payable,1.323859,1.602448,NaN,NaN,2.532915,NaN,3.148321,3.517291,NaN,NaN,5.419431,NaN,NaN,NaN,7.728974,NaN,8.530986,NaN,11.304257,12.545615,13.475108,13.810448,13.46881,15.932722,19.875653,24.736777,27.897916,31.710247,58.095429,75.631321,87.789109,96.728135,98.720468,104.178988,114.098675,126.185964,133.214312,142.999414,167.34503,179.795391,199.628586,215.395784,213.83658,226.721679,256.650448,295.195868,336.960221,374.76234,408.241459,409.010011,382.217844,422.197812,445.249512,462.31745,429.374826,462.587262,471.142325,480.089843,489.978433,420.903135,430.618682,428.20971,479.477021,500.346504
"    Mortgages, notes, bonds payable in less than 1 year",1.094542,1.437255,NaN,NaN,1.812523,NaN,2.573744,2.947045,NaN,NaN,4.422985,NaN,NaN,NaN,7.688584,NaN,8.836686,NaN,11.752423,12.710256,14.189915,13.745066,14.196055,16.389593,20.316456,26.756287,30.700804,36.37272,69.239166,89.801409,110.504743,113.652168,114.972502,114.895644,120.770134,130.779094,144.396625,154.042469,171.30616,182.956963,196.373776,215.965503,221.506445,239.785237,263.956812,291.273559,310.816197,341.079211,348.896131,336.333238,279.113546,267.664793,270.363101,297.330124,304.988277,332.864655,339.880188,354.529564,364.877246,370.683044,381.405879,344.143552,294.618281,350.661017
    Other current liabilities,0.269044,0.343724,NaN,NaN,0.673241,NaN,0.925586,1.000946,1.140746,1.512702,1.670977,1.897107,1.977077,2.292352,3.064834,3.472405,3.553484,4.156053,5.091022,6.373811,6.332133,6.728685,7.336442,11.482996,13.431546,14.820094,16.821603,20.511644,39.762608,48.700537,52.374032,56.074638,59.02756,63.717873,71.18556,77.876795,84.175759,91.117562,153.304084,200.431585,230.761101,266.676469,293.532979,342.772044,373.452119,410.485937,468.607116,529.453392,598.271091,605.841941,593.069137,600.719928,631.216079,672.103139,753.875434,788.66886,799.952206,863.765785,883.509681,865.827016,850.025489,980.467247,1084.786395,1134.719914
    Loans from shareholders (1963-2019),NaN,NaN,NaN,NaN,1.016995,NaN,1.232064,1.42117,NaN,NaN,2.114096,NaN,NaN,NaN,4.299583,NaN,6.039187,NaN,8.3627,9.281092,10.997769,13.334421,15.566097,18.072324,22.713483,26.920254,28.861905,35.314775,44.694469,56.730348,70.191972,80.15434,88.165022,91.894951,100.063976,107.892813,116.981395,121.299644,127.766013,134.407009,141.026283,150.866738,158.320946,172.163098,191.08016,201.767045,217.002048,230.145905,237.038146,243.531265,253.781362,261.704227,263.457209,266.094216,272.132282,267.506363,271.598482,276.676734,288.784786,290.241363,286.654211,271.770401,277.429391,280.727565
"    Mortgages, notes, bonds payable in 1 year or more",0.991276,1.456055,NaN,NaN,2.306543,NaN,2.870865,3.417483,3.715068,3.95484,4.977186,5.350168,6.060129,7.533807,9.765416,10.923165,11.401107,12.756801,15.069322,17.752924,20.4303,21.898027,23.970683,26.216431,33.579619,45.653407,54.392612,65.243714,94.253472,132.543936,161.66203,178.387605,181.550423,180.851262,189.787445,202.528875,220.462442,237.076624,272.619511,298.31964,335.947654,371.088397,395.197355,408.667969,432.426246,479.247988,546.497451,599.683823,670.919653,693.926473,653.392083,620.71224,615.13642,626.638104,643.309865,676.66242,724.136399,742.842831,771.050159,784.772317,800.671326,889.396038,903.844871,1018.831526
