Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Other investments,0.0008361826037948525,0.0010669214686328085,NaN,NaN,0.0012330080790650248,NaN,0.001010010925663724,0.0008585111640566797,NaN,NaN,0.0011854787910948639,NaN,NaN,NaN,0.0012534075219450868,NaN,0.00127320191536135,NaN,0.0011819551682032985,0.0011145841616704208,0.001139982636384501,0.0014335942900080391,0.0014803920498677754,0.002054671212806789,0.0028585658708026717,0.0031488926749542365,0.0029909840540827694,0.0035215228039114943,0.00555905227677868,0.006816292487374051,0.007894602221363518,0.008542490672705539,0.008995120108721335,0.008763705255886706,0.009033618869503055,0.009395711487867279,0.010094222336362098,0.010732637138395777,0.01291755969535364,0.015261847833846804,0.01791225065859067,0.019323345675601643,0.019225827918520337,0.01921597590581043,0.020347610821851447,0.022111596474346486,0.023151224956567493,0.025173039892706663,0.026897250271309806,0.02710276433185361,0.027872314101046777,0.027798279696332726,0.02844394390877997,0.028361035119420057,0.029039359781828734,0.028906244430842148,0.028658532139266977,0.02995893190252994,0.029979215690393614,0.02875978098145883,0.02952521097742793,0.03218912705755775,0.03312536160766125,0.02977313926047801
    Depreciable assets,0.0058829281477761125,0.007076317060669418,NaN,0.009061055897947087,0.01029538159855675,NaN,0.011944614563869329,0.011868983076268665,0.013129613155976041,0.012654902827935122,0.014083240714808645,0.01465405295615497,0.014087095334163196,0.014503160791487831,0.015331200328895674,0.016098493893840646,0.015631209849344532,0.01594377798370033,0.016289455026500775,0.01581019468030051,0.01601287084659615,0.015829079619375866,0.015205787827470868,0.016897780930555127,0.01957799670779447,0.022232254057038155,0.02351082869956273,0.02675295127489529,0.043020321242210696,0.05357438205131045,0.06024683794256219,0.06296452760490104,0.06637736591747266,0.06731123454391168,0.069212811320862,0.07053221756506857,0.07372573745551064,0.07553366045998067,0.07870952994514052,0.07967779146373584,0.08255914410001192,0.08381465740938013,0.08722314088480465,0.09033932595414008,0.09143748744157222,0.09202669123095021,0.09325563084904692,0.09535511385947303,0.09715172519045576,0.10107534139452352,0.10521475166539843,0.10349135532256658,0.10234222004583156,0.10255207589284342,0.10305290579770973,0.10425255867485818,0.10582211256517415,0.10708219538160055,0.10714480268356752,0.10450992258326622,0.10319739231908365,0.10648301110053243,0.10074139704104988,0.09700656467219204
    Depletable assets,8.668772788093258e-5,0.00011293147633955404,NaN,NaN,0.00010737783355557298,NaN,0.00011068195810526627,0.00012979245501060961,NaN,NaN,9.337519592380223e-5,NaN,NaN,NaN,0.00014009987540129762,NaN,0.00011939849392012839,NaN,0.00012657830193301458,0.0001225447025619589,0.00010604479904146143,0.00012796944815520348,0.0001430508683861541,0.00013162672644715322,0.0002703103269696134,0.00031537049241717814,0.00025663525912432395,0.0003256334407728483,0.000388870729720517,0.000353427463478036,0.0004043643801913648,0.0005053064289576103,0.0006050324700895354,0.0005603593194022324,0.0007126644241159112,0.0006584261851818714,0.0006854032769924771,0.0006283965484480478,0.0007866142927492599,0.0009167314092296026,0.0008967886774319886,0.0008949084924014863,0.0009091088212744576,0.0008886431536773174,0.0010010410729327148,0.0009642460512215733,0.0009215842049169132,0.0013239346468404555,0.001014209738854466,0.0011188399052069681,0.001228266176693339,0.0012108762785176476,0.001190406283902826,0.001201892645304501,0.0011948338820176884,0.0012247027482406147,0.0011681275105535555,0.0010506425102844135,0.0010782320528416587,0.0011631310430084143,0.0015019046441171586,0.0015414705425393005,NaN,0.0015383357051461212
    Land,0.0006315584659563619,0.0009405400621702048,NaN,NaN,0.00142006745627108,NaN,0.001812713107697945,0.0018683388778653921,NaN,NaN,0.0022951686050225284,NaN,NaN,NaN,0.002734562669779763,NaN,0.0027349243636432697,NaN,0.002689558589430625,0.0023959994880079468,0.0023041125734727954,0.0021358012982154173,0.002017747824240476,0.0021450979711937564,0.0023676287919939198,0.00285903007544309,0.003217537812466942,0.0036851929773381305,0.004580674182296768,0.006057696663266136,0.006642038932355829,0.0067298321154075766,0.006818330210360972,0.006727675927909751,0.006650237754023841,0.00668379245574042,0.006690714969824271,0.006758011708481552,0.006877291096573941,0.006799896654649432,0.006866168520300541,0.006915875910842232,0.0071160924440146975,0.007348040389023514,0.0073010768606330935,0.0076233558829702005,0.007750260924810017,0.008041549531424046,0.008415519708546804,0.008539393936111252,0.008933002244015033,0.008567917367905088,0.00816625093302885,0.008073211344674562,0.007676934161964892,0.007667239432130757,0.007544756198394766,0.007729989817022817,0.007714923418203719,0.007504801874623969,0.007369563029347007,0.0075746760475335975,0.006993655219910776,0.006609374715741327
    Intangible assets (amortizable),4.8419067044439416e-5,3.722837409796048e-5,NaN,NaN,5.459879206212252e-5,NaN,8.558526396053289e-5,7.590599620857276e-5,NaN,NaN,0.0001261626450081809,NaN,NaN,NaN,0.00021127758570370204,NaN,0.0002929122371363591,NaN,0.0003840258503832693,0.0004395587853201162,0.0003153471600288201,0.000392592045586981,0.00047205882307086187,0.0005302954223487188,0.000601984073914472,0.0008068071407537077,0.0009043028325327225,0.0012540130416620902,0.0019912032731815173,0.0025917260931954127,0.0032008761729870002,0.0036376490321213106,0.003698272478540154,0.0037319421249885167,0.0036964954300167134,0.003887172722277692,0.0037565778666288643,0.003937006030628547,0.004225387033503265,0.004586684029921381,0.0050194620135534905,0.005382282835779545,0.0060045301759253916,0.006252913412512714,0.006686182456170978,0.006968708449958567,0.007293869860237559,0.0077511365246041375,0.008356731219101979,0.00904952395628341,0.009405347412745086,0.009656547480887564,0.009805777304379332,0.009760845504206049,0.009565578241117376,0.010000075476464348,0.010138130384013266,0.010366511719570306,0.010458123764602081,0.010353345017136481,0.010344346852286135,0.010730353720262204,0.010458022953643622,0.010556161799211457
    Other assets,0.0005798191904979162,0.0007605912438097134,NaN,NaN,0.0009236347948858734,NaN,0.0007843373672518386,0.0008482556238274729,NaN,NaN,0.0012278523803206517,NaN,NaN,NaN,0.0012948969254428305,NaN,0.0011153359479234425,NaN,0.001047813794236406,0.0012372947088342867,0.0010818487797321465,0.0010650444631955893,0.001239857239118552,0.0012608397240376113,0.0014963286019573818,0.001833563295937476,0.0019371949023030534,0.002271710974093764,0.0034485366765426456,0.004123859195888503,0.0044082553114553015,0.0038976984288824823,0.003680053308399353,0.003659111881965429,0.003271552085503675,0.003249193246932033,0.0031777295301193796,0.0030878295905846587,0.0030962251234384823,0.003267590088159123,0.0034659187895304954,0.0035165649980606678,0.003542692168885276,0.003512135665600523,0.004138343815056148,0.004032306349181923,0.004465532348349365,0.004821027675777418,0.0054490555903914184,0.005978103316063481,0.0064238701202308296,0.0063960363801618065,0.006368310429948412,0.004931493598179399,0.004614082972827581,0.005447802317314869,0.005497618778094737,0.005757384998271462,0.005997060692423484,0.005416263420220525,0.0058658840104880315,0.006024215588089812,0.006403587510476533,0.011355259264251622
    Less:  Allowance for bad debts,6.683548865723258e-5,8.279957668211704e-5,NaN,NaN,9.768452427641384e-5,NaN,8.613895665973765e-5,0.00010486787785801572,NaN,NaN,0.0001040501564933693,NaN,NaN,NaN,0.00010847944682666188,NaN,0.00010126749061074103,NaN,8.672963062234788e-5,9.373706996813658e-5,7.655367629455421e-5,6.889179216654003e-5,8.080906979361973e-5,8.798192708929899e-5,0.00010376501291400916,0.00012398266005186727,0.0001474994462983112,0.00016428048460672922,0.0002824814143142992,0.00030999985104378203,0.0003104993636534446,0.00042196515797706714,0.00038259623986441335,0.0003963256750773389,0.00037532607068044467,0.0003604425601146992,0.0003745586406045539,0.0003948517066879455,0.0004390092884310116,0.00044214023079137537,0.00048209075697121804,0.0005285430075177408,0.0005960700549020883,0.0006683028477712912,0.0006739076240894868,0.0006867485796249811,0.0006967524150451903,0.0007360543525380001,0.0007761991865818336,0.0008533578038846944,0.0009382259385869675,0.0009351310465014518,0.000945933045516423,0.000911796256545324,0.0008557266906795181,0.0008196560022416908,0.0008249713760887595,0.0008541643877852559,0.0008549457370760156,0.0007301466036189259,0.0008176088076582422,0.0008409955873796466,0.0007996465006536176,0.0014526719912258152
    Less:  Accumulated depreciation,0.002748018801734483,0.0032034507044850307,NaN,0.004208387838164531,0.0047356231861322455,NaN,0.005689677470634753,0.005449357891553379,0.006056414317426761,0.005901846699785574,0.006577289053325669,0.006898911118295579,0.006679476327424132,0.006698086951083175,0.006716733689917607,0.007151261646226516,0.007045607939680836,0.007183460445433252,0.007161237778757687,0.00670377687692502,0.006585314080856899,0.006884263749047617,0.0067775295046118835,0.007903475368810652,0.009333536963565049,0.010337355264112731,0.011110599521223771,0.01279727384149509,0.021962814829003453,0.02677273864409356,0.02997150018257297,0.031336997731398065,0.03391039063975438,0.03503108877821619,0.03642084525335424,0.037453028967361565,0.03904804948434824,0.04017008463392477,0.041563491425059274,0.042150793070189985,0.043853748536522866,0.04445582254214048,0.04726435029000856,0.05040876062346534,0.052262877156536276,0.053274786047469484,0.053549035956738746,0.053895933019981856,0.054860814891129255,0.05842765274313328,0.06287709719812734,0.0634760835807312,0.06406176086871236,0.0645292145857289,0.06493491720684524,0.06565187153803542,0.06662681924517269,0.06761415609846214,0.06810727911776106,0.06660638860880509,0.06635142944873398,0.0691796830647513,0.06570584588954273,0.06292214772400773
    Less:  Accumulated depletion,2.2743044240051833e-5,3.105191543967167e-5,NaN,NaN,3.6583261432269196e-5,NaN,3.06174549265852e-5,6.408790603554894e-5,NaN,NaN,2.264019300029972e-5,NaN,NaN,NaN,2.014836786924994e-5,NaN,2.482930778252055e-5,NaN,2.9767617466589426e-5,2.9341312017907814e-5,1.2994546180480358e-5,3.2530281135348774e-5,3.983017367099454e-5,3.144606313376831e-5,7.277304199901047e-5,8.545395509673661e-5,9.182528885251577e-5,0.0001307635920885329,0.00014728740127883111,0.00012466050395325984,0.00013355531606393952,0.0001510986486323322,0.0002493828888612109,0.00020212467871626684,0.00028746621557093843,0.00028790847448881854,0.00029895222997509475,0.0002695060225771393,0.0003072636575097417,0.0003459470714238189,0.000324100535220428,0.0003243649955633389,0.00031595666536791164,0.00030212182000580466,0.000346994487821271,0.00030203935502057916,0.00032680517059447756,0.0004605377854846951,0.0003603533121075611,0.0003958152757283717,0.0004448411517918794,0.0004522505226437077,0.0004480624410727056,0.00046246756946149157,0.0004500438755943702,0.0004970009321826078,0.0005783513534476242,0.0005454156049538757,0.0005502848700256607,0.0005362140450015869,0.0008172465975134055,0.0008614804174972016,0.0008109492492195681,0.0007919508229905076
    Less:  Accumulated amortization,1.0073727029793695e-5,1.2723504836074943e-5,NaN,NaN,2.4020707506471097e-5,NaN,3.376312999384337e-5,3.527355073800057e-5,NaN,NaN,5.126889835546842e-5,NaN,NaN,NaN,6.623445322497363e-5,NaN,0.00012506528561864651,NaN,0.00017418074325135723,0.0001946998616685923,0.00011734599306597222,0.00017429278687939377,0.00020293784831562802,0.0002005323900521235,0.00023574547101598827,0.00026533647479339896,0.00032236731267885834,0.0003910478813686081,0.0006815865002888647,0.0009056096911679275,0.0011034295356974464,0.0013653032695504252,0.0014807809320006124,0.001724599395091688,0.0017709635507983529,0.0018278208637678263,0.0016198149965398077,0.001611821919698476,0.0015121876264929668,0.0015029627101595454,0.0016224183308116602,0.0016856651948033705,0.0019756750399667206,0.0021547108876589015,0.0022627942338158853,0.002359595360506617,0.002335862093348233,0.002499134853737262,0.0027339546537473365,0.0028447564371285256,0.003222105340443583,0.003437303919317806,0.0036423542404446434,0.0036731623105001423,0.0035980714168970533,0.0038682565981706866,0.0040168080175265195,0.0041829292696009815,0.0042489396598080105,0.004195016042395533,0.004337105759884108,0.004671902699197265,0.004483879574190712,0.004319808499177919
