Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
      Buildings and other depreciable assets,NaN,NaN,NaN,0.09319181076365486,NaN,0.11553188369328182,0.11451994283827366,0.12879521255677318,NaN,NaN,NaN,NaN,NaN,0.17825638325136287,0.17766235504947195,0.17318447399559694,0.17460339950657092,0.1701751729629511,0.16627811527173564,0.1621509385725946,0.16625174950119434,0.17051788477865193,0.18009957747851602,0.19319280131111552,0.20358620986106363,0.21360579622263376,0.22841197044508615,0.24335843053248263,0.2410377698152569,0.24133042475540215,0.27396743917589406,0.25857145594217773,0.2757199793315402,0.30646516582213157,0.314603523937277,0.31733557769497994,0.31947423442915557,0.3269091527792902,0.3339143761540928,0.3441727363790538,0.3560488896458648,0.37209888096796834,0.38840409436989465,0.38458020946029814,0.36376671368620456,0.42703319816006163,0.40604657386553666,0.398005348764714
            Less: Accumulated depreciation,NaN,NaN,NaN,0.025694020111422057,NaN,0.03183775387104011,0.031938868258934015,0.0358328946593221,NaN,NaN,NaN,NaN,NaN,0.05950777780621102,0.0589432079311115,0.05891425345421811,0.0615275854078406,0.06267542180016432,0.0644896909102918,0.06437506223210007,0.06588483522168072,0.06542702587673022,0.065823208766324,0.06594511452675256,0.06712811026529274,0.0685283421481244,0.07281865272390317,0.0794372906736762,0.07994819643083154,0.0785706166946982,0.08299534557227718,0.07833130610557658,0.07778742589932948,0.08618155565705353,0.0949114106876284,0.10050744426313267,0.105586146928678,0.1072430426535794,0.10889464946412417,0.11174935612158424,0.11431353036583346,0.11947710303153224,0.12402085676486896,0.12414505906998063,0.11700693166781662,0.14223308512295113,0.13318666523080827,0.1305418201167747
      Depletable assets,NaN,NaN,NaN,0.0018759048630314946,NaN,0.0027909717086753365,0.00330442080409948,0.004727923322913019,NaN,NaN,NaN,NaN,NaN,0.005415909631700022,0.00482843813257988,0.00430910757815005,0.004243807981287823,0.004044943144722649,0.003897190648939522,0.0036350787870737273,0.004653298688216066,0.004365898719231544,0.004409807833283902,0.004772227774211926,0.004622372334332727,0.005223569674309274,0.0053685038899807394,0.005750454657415774,0.00548255742398387,0.005960060229859617,0.007120363777002526,0.0067202249807337125,0.006439126563433988,0.008800405718076445,0.009294440618350502,0.011765106863452657,0.013604882955681546,0.015130158539729063,0.01793160786207525,0.019850853963093655,0.0189790780758413,0.019468427745451416,0.02039666666020807,0.020148963068118555,0.019054558773540294,0.01853642256211743,0.014898603683904062,0.015001583097719276
            Less: Accumulated depletion,NaN,NaN,NaN,0.0003469579634963274,NaN,0.00038753133632472815,0.00043754445297082263,0.0006453729586406319,NaN,NaN,NaN,NaN,NaN,0.0012790920087280705,0.0013119959302181304,0.0011124509151548244,0.0011573419459059724,0.0012214971733779609,0.0012259296741487535,0.0012084090593470556,0.0018908759960569385,0.0016968761279713101,0.0017411809336743164,0.0020017097332981565,0.001512798130902449,0.0015598463440273645,0.0016237131245163334,0.0018037428123136856,0.0017742204609630383,0.002020911099404479,0.0019149939217882818,0.0018073781613124832,0.0014940156393833232,0.002091793207004913,0.00236735967584623,0.002957350439442006,0.002965216966547887,0.0036669110377341657,0.004141146954776652,0.00499058492158569,0.007065980964545596,0.006960223373540734,0.007211687864972352,0.006572796496756762,0.007022595933459926,0.007858593110425074,0.00580439545479164,0.005460444933093233
      Land,NaN,NaN,NaN,0.019749321631791814,NaN,0.024583024505242173,0.02380183041002594,0.026263711017650935,NaN,NaN,NaN,NaN,NaN,0.038245205423992415,0.037906850740395424,0.03601406154203219,0.03456407960924495,0.032637646547481435,0.030108503987499414,0.0285512589409757,0.028950275853303557,0.02877485958963583,0.029917941389338124,0.03212812164253123,0.03388700378313252,0.034984611868244045,0.03705279954155807,0.038720216599561465,0.03969512353303161,0.04169601846446599,0.0560521736116112,0.05290224335809788,0.05666088153371634,0.05989137081984923,0.06158096567725512,0.060664702922213085,0.059129482480852875,0.0588898255626164,0.059275534052739456,0.060713541034264955,0.06246970533345716,0.0637880617687516,0.06662405590181002,0.06578182642222918,0.062157416658936857,0.07154430737074287,0.06802359109731264,0.06899239159712749
      Intangible assets,NaN,NaN,NaN,0.0013739455578948621,NaN,0.002355544223984332,0.003244222010258054,0.003833076488977026,NaN,NaN,NaN,NaN,NaN,0.011953876661959904,0.012155964109345255,0.011769696824359768,0.011516649781126702,0.012774396897578909,0.01320904420301699,0.013412056642600843,0.014774565630362987,0.01636128947388631,0.0179168683559132,0.02129386801035484,0.024887672237605143,0.030059323758417755,0.033371511848170596,0.03327213483479164,0.034253226173902036,0.03580953510118034,0.04541529367184191,0.04286311775623222,0.04555221224924742,0.050356253023894196,0.04992042356206806,0.04826436564998365,0.05128741871975749,0.05431950452720166,0.055438553582221765,0.058117477668564385,0.06360426480016228,0.06991917043168452,0.07555669682933527,0.07636951967117785,0.0717981092556159,0.08219834897141236,0.08397827671281434,0.08946360544815594
            Less: Accumulated amoritization,NaN,NaN,NaN,0.0004512193618044573,NaN,0.0007593653744592373,0.0010978565599878518,0.0011536963008132392,NaN,NaN,NaN,NaN,NaN,0.004645602602379709,0.004887820433282875,0.004728381202935901,0.004852914253663735,0.005139696674721988,0.0053784242433432446,0.005424705882998712,0.005473745145292077,0.005602978253022808,0.005757038838120713,0.0057575491152475,0.0057427433545990045,0.006504104789486869,0.007626438903530727,0.00829506534293558,0.007771070794181443,0.0074949970516966415,0.008214549638294445,0.007752921537947403,0.008212975365594628,0.009617197642063277,0.010231314649946019,0.010607035391323433,0.010932790191523803,0.011480805920030614,0.011485199088212248,0.012013653573137602,0.01256177700608018,0.013452522274365214,0.014232890589698136,0.014995564402051149,0.01446677847734506,0.018765068819446163,0.017629799779942758,0.020166236774799274
      Other assets,NaN,NaN,NaN,0.009045701244132185,NaN,0.01435000194238841,0.022787087224641032,0.020502799668280506,NaN,NaN,NaN,NaN,NaN,0.03705983915020096,0.04817590940835723,0.02355891506225575,0.02229758226890018,0.019960296469793616,0.02086690425787691,0.021877872213827025,0.02487176502788246,0.028389314319788552,0.03512454567457009,0.04041788563092469,0.04314335763082624,0.045252071417366896,0.055892323129365165,0.05899629576357009,0.05826201650598571,0.062258229056814676,0.0853099062005122,0.08051579676369792,0.08456466804309011,0.09414857803004524,0.0862205714340181,0.08778316524099887,0.08496276743728674,0.08090210926930466,0.08363342472576495,0.08783318997159155,0.08955862035453475,0.09308793132943502,0.09486395899837763,0.09968423271378388,0.09825289696156664,0.1304376963278284,0.13753911478486675,0.1274981996662856
Total liabilities and capital,NaN,NaN,NaN,0.1504066722260045,NaN,0.20911435943005074,0.2230194656070814,0.2527914928244575,NaN,NaN,NaN,NaN,NaN,0.301768914097713,0.3174690907511725,0.28260653272837283,0.2625095862720641,0.29252282178485833,0.30885031987039846,0.31496334440108703,0.35585563635663947,0.4172073511337993,0.4863274314163295,0.5656682692588849,0.6228684196482006,0.6530264543234618,0.7964726827216474,0.8112793927006668,0.8445070443287406,0.9501114772980641,1.3149793942065604,1.2410822888907402,1.4084436120530919,1.3039934863981804,1.298385231053289,1.317047296456349,1.3188982438288042,1.3544339546584618,1.4314068998274536,1.4839123425770515,1.4958315610385537,1.5394936028685695,1.6522257465314019,1.6628170374907365,1.6735540456347642,2.0202260970042922,2.142492144091341,2.016154635029327
       Accounts payable,NaN,NaN,NaN,0.008905865753472424,NaN,0.011863985214049452,0.009071430954577756,0.011141476929315814,NaN,NaN,NaN,NaN,NaN,0.009335024304689563,0.009163226436565643,0.010464598540635611,0.010244689742615005,0.012167625488721655,0.011629993705674909,0.011123182918736266,0.01185954734900322,0.015018119755901125,0.01858467614069842,0.02104086786702192,0.02531042421420778,0.022426526141181815,0.034185495952581045,0.03169067429839654,0.024052860353774512,0.02753444857559787,0.03874563448960852,0.03656826939550795,0.02971035774757728,0.0347470017661641,0.030694018061941556,0.032724250515201336,0.03233985494109771,0.03131641765058014,0.03160261039200843,0.030520372057511135,0.028919578930199526,0.030994664692147206,0.03153035727633886,0.030082702668736586,0.026285141649607692,0.03468605198687213,0.03185180786444373,0.03242222233651207
