Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
            Less: Accumulated depreciation,NaN,NaN,NaN,60.422032,NaN,90.970237,102.42926,119.817639,NaN,NaN,NaN,NaN,NaN,311.608789,332.532823,351.314177,378.894808,408.664245,442.30635,469.116271,503.343604,528.200362,564.601996,597.648505,646.522376,702.480746,770.561813,868.178729,915.922515,959.912624,1082.192661,1082.192661,1125.912938,1272.889684,1374.133763,1512.533614,1647.115595,1743.125198,1838.216058,1967.698084,2091.36821,2246.756528,2432.309693,2564.404399,2520.327202,3040.272162,3159.939538,3401.216734
      Depletable assets,NaN,NaN,NaN,4.411376,NaN,7.974663,10.597413,15.809178,NaN,NaN,NaN,NaN,NaN,28.360075,27.24002,25.695829,26.133917,26.374352,26.729112,26.489677,35.550034,35.246433,37.825356,43.249827,44.518863,53.546562,56.809127,62.84734,62.810645,72.815224,92.843826,92.843826,93.201386,129.980778,134.565534,177.052752,212.232528,245.925143,302.697788,349.536576,347.222594,366.10209,400.021507,416.207378,410.434853,396.221241,353.478982,390.860457
            Less: Accumulated depletion,NaN,NaN,NaN,0.815906,NaN,1.107296,1.403223,2.157991,NaN,NaN,NaN,NaN,NaN,6.697886,7.40173,6.633705,7.127061,7.964561,8.408111,8.805962,14.445818,13.699088,14.93507,18.141129,14.570019,15.98991,17.182017,19.7133,20.326268,24.689867,24.969983,24.969983,21.624723,30.895497,34.274792,44.505081,46.25659,59.601862,69.905389,87.874908,129.272256,130.886395,141.436358,135.771076,151.26659,167.979636,137.713026,142.269785
      Land,NaN,NaN,NaN,46.442485,NaN,70.241248,76.333446,87.820308,NaN,NaN,NaN,NaN,NaN,200.268647,213.854531,214.757035,212.850061,212.808128,206.500951,208.059762,221.172841,232.302952,256.622698,291.171287,326.371562,358.625577,392.090094,423.177429,454.765198,509.40843,730.875334,730.875334,820.122518,884.587282,891.573347,912.941355,922.40408,957.193458,1000.6115,1069.052409,1142.884446,1199.528952,1306.63778,1358.82335,1338.869636,1529.279674,1613.903574,1797.570132
      Intangible assets,NaN,NaN,NaN,3.230969,NaN,6.730513,10.404353,12.816999,NaN,NaN,NaN,NaN,NaN,62.595734,68.578844,70.184397,70.921015,83.293245,90.595009,97.736822,112.873973,132.086686,153.68287,192.982429,239.697452,308.136685,353.134969,363.634755,392.420373,437.492109,592.178961,592.178961,659.333106,743.754908,722.751237,726.329039,800.069987,882.907597,935.840649,1023.340567,1163.641233,1314.823917,1481.825645,1577.528205,1546.529981,1757.012807,1992.438781,2330.939707
            Less: Accumulated amoritization,NaN,NaN,NaN,1.061087,NaN,2.16974,3.520871,3.857717,NaN,NaN,NaN,NaN,NaN,24.32641,27.57503,28.196018,29.884872,33.512503,36.88824,39.531112,41.818039,45.233527,49.3813,52.179614,55.309349,66.673266,80.702435,90.657665,89.028884,91.567848,107.111131,107.111131,118.876478,142.044682,148.129659,159.624968,170.548597,186.608675,193.878005,211.53807,229.817949,252.973511,279.136902,309.756116,311.614148,401.108619,418.278371,525.423515
      Other assets,NaN,NaN,NaN,21.271862,NaN,41.002361,73.079123,68.557036,NaN,NaN,NaN,NaN,NaN,194.06155,271.788247,140.485203,137.311388,130.14766,143.116894,159.429218,190.014042,229.190398,301.282617,366.299901,415.521098,463.876812,591.448595,644.776888,667.475879,760.620987,1112.372673,1112.372673,1224.008286,1390.561505,1248.30721,1321.046308,1325.396402,1314.980457,1411.789331,1546.57893,1638.476661,1750.51045,1860.48164,2059.128948,2116.365632,2788.142412,3263.204211,3321.916378
Total liabilities and capital,NaN,NaN,NaN,353.69618,NaN,597.503923,715.23257,845.281413,NaN,NaN,NaN,NaN,NaN,1580.194209,1791.027273,1685.22345,1616.567896,1907.344453,2118.268141,2295.212222,2718.647742,3368.165845,4171.498832,5126.548007,5998.952883,6694.142838,8428.217379,8866.560101,9675.052728,11607.69814,17146.275372,17146.275372,20386.133966,19259.803843,18798.108367,19820.20657,20574.459139,22014.928866,24163.12612,26128.933308,27366.26683,28950.043266,32403.619868,34348.00674,36048.324019,43182.900507,50832.008026,52530.13078
       Accounts payable,NaN,NaN,NaN,20.943025,NaN,33.899048,29.092451,37.254748,NaN,NaN,NaN,NaN,NaN,48.882276,51.695075,62.401908,63.088121,79.336897,79.764998,81.057259,90.603965,121.243113,159.411026,190.689535,243.769049,229.893243,361.748491,346.350802,275.560392,336.393755,505.211961,505.211961,430.034492,513.208421,444.39005,492.466297,504.49307,509.016113,533.473648,537.406923,529.084246,582.851973,618.376583,621.403829,566.181478,741.424108,755.704686,844.748488
"       Mortgages, notes, bonds payable in less than one year",NaN,NaN,NaN,27.810649,NaN,48.001839,55.691914,73.277805,NaN,NaN,NaN,NaN,NaN,86.552615,86.933328,87.570916,116.758131,114.638421,131.148176,125.644085,123.961301,125.889105,126.794298,229.922243,231.808501,252.226751,289.248638,282.684863,273.570095,296.350178,455.621208,455.621208,564.662688,581.693016,432.206038,480.916174,393.589703,326.059271,306.330841,328.111955,351.264544,407.009913,432.531915,452.49468,449.880826,484.300026,493.119176,482.022713
       Other current liabilities,NaN,NaN,NaN,16.804131,NaN,61.505617,106.33609,129.948913,NaN,NaN,NaN,NaN,NaN,86.330374,110.064162,123.879764,168.806041,207.273367,272.979891,290.537838,425.069642,663.329069,839.613535,931.06011,962.470987,923.893453,1575.392553,1545.790568,1761.71321,2361.630275,3707.452028,3707.452028,4117.26798,3611.505624,2805.449851,2640.691764,2745.714787,2806.532947,3216.716115,3447.604886,3495.987,3926.840111,4317.411403,4968.171524,5372.874959,5846.647422,6419.913814,6679.863589
       All nonrecourse loans,NaN,NaN,NaN,83.746916,NaN,118.91038,138.134304,154.508961,NaN,NaN,NaN,NaN,NaN,436.916024,461.008315,470.139911,474.221624,475.615076,477.709746,463.311873,465.744743,474.197941,492.3646,523.40356,582.151975,639.417006,699.883406,770.27798,799.599369,854.466687,1102.57259,1102.57259,1210.101896,1283.259523,1281.654052,1225.305419,1212.525105,1212.390621,1224.931576,1254.352302,1269.695686,1317.580568,1378.049828,1462.092517,1489.435134,1627.492115,1727.577873,1849.036548
        Loans from partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,139.111031,179.500158,201.449049,259.673194,293.52171,322.036189,337.279018,303.558071,288.210061,416.698949,426.808524,455.31738
