Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
    Less:  Accumulated depreciation,147.490097,160.180516,172.721782,185.549142,197.771422,212.030969,229.163722,246.027694,263.617458,283.587914,311.450204,334.646086,356.114981,383.156945,412.031351,444.332458,483.798526,519.177941,576.129137,631.320855,697.645652,767.841763,857.772979,942.704683,1024.756282,1116.171771,1232.07253,1342.114626,1483.312181,1593.226079,1718.268625,1848.022862,1999.540977,2131.890499,2265.345826,2438.539251,2600.545415,2760.002783,2898.167422,3031.634536,3227.243753,3369.214883,3549.239594,3699.383948,3812.960901,3930.550044,4096.350302,4241.564417,4335.28454,4514.037135,4711.042846,4874.203678,5021.678762,5199.489212,5446.272787,5736.109017,5939.297482,6087.868191,6289.066516,6546.449048,6884.373856,6975.151733,7362.564977,7887.07698
    Less:  Accumulated depletion,4.963693,5.190471,5.52622,NaN,6.028984,6.780188,7.538709,7.197874,7.64404,7.663924,6.414526,6.774796,8.25839,8.960583,12.412898,13.745919,14.501561,16.016051,20.706628,13.928939,16.005905,19.569556,21.816569,29.44257,32.682172,36.340299,37.20392,44.083149,49.686832,50.921656,56.491222,55.0753,61.141866,60.154855,64.12996,70.805195,70.960211,82.027771,84.251459,92.307154,85.66031,87.437339,92.093245,110.296199,110.386244,116.413985,128.373491,132.586231,161.963112,214.528294,278.707723,289.781404,320.673583,363.94713,399.582907,453.674709,635.713864,565.591263,536.443616,531.510323,505.665073,521.318845,429.009135,473.180376
    Less:  Accumulated amortization,1.276532,1.355436,1.900047,NaN,1.7155,2.003046,2.170233,3.270466,4.097775,4.143629,5.476967,5.984184,5.281647,5.615176,2.943637,3.892553,4.49199,5.583217,4.953776,14.396862,15.126876,18.393037,20.451969,24.869273,25.062592,36.190604,42.50524,46.696699,55.540169,67.703687,82.406932,95.754475,110.369202,124.473187,138.208765,150.436426,165.020215,184.363914,206.973912,232.743976,280.555798,364.363888,483.180189,480.835477,478.750745,508.581335,532.45056,574.057109,606.425444,668.598994,761.50057,778.555076,844.601506,943.870066,1003.03706,1103.036917,1176.992099,1255.723202,1386.539114,1470.19828,1572.257704,1668.337098,1874.162912,2064.993005
    Addendum (A.1): Total Inventories (1959-1961)  [= sum(l.26:l.28)  ],88.30397,91.334436,94.81831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (A.1.1) : Last-in, first-out",7.527013,7.62076,8.490311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (A.1.2): Other than last-in, first-out",35.640301,37.321314,42.084034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (A.1.3): Not Stated,45.136656,46.392362,44.243965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (A.2):Investments in Government Obligations (1959-1981) [ = sum(l.30:l.32) ],134.293124,135.180295,144.759556,NaN,NaN,NaN,NaN,157.573498,173.180511,185.393774,178.235006,196.62539,222.727559,239.629907,249.566202,256.293337,316.131699,357.135346,380.54083,403.628383,420.965658,472.059737,514.837697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    Addendum (A.2.1): Investment in U.S. Government Obligations,102.699111,102.059237,108.021301,NaN,NaN,NaN,NaN,57.070989,104.884087,107.850951,97.934588,106.222911,117.253427,126.621552,126.192025,125.839713,176.955397,209.304192,216.1767,219.415567,224.260009,265.542521,304.161714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"    Addendum (A.2.2): Investments in Obligations of  U.S. States, territories, possessions",29.137834,30.822199,34.5056,NaN,NaN,NaN,NaN,94.474916,68.296424,77.542823,80.300418,90.402479,105.474132,113.008355,123.374177,130.453624,139.176302,147.831154,164.36413,184.212816,196.705649,206.517216,210.675983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
