Tax Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
   Supplies,0.0023258755410855924,0.002278791314818027,0.0021765241425486135,0.0022483576245964664,0.00212604273242134,0.002180588813249456,0.0022523121740584866,0.0022264452775510738,0.0022347915184466223,0.0022132201085695693,0.0023261339025649514,0.0022333115106380804,0.002155165227677821,0.002060331534589528,0.001975120092928613,0.00206159221196877,0.002062593200307371,0.0020796063761164166,0.0020821478682186614,0.002102242856375279,0.002078162127099445,0.0022674089702368464,0.002271985072410081,0.002363510470900115,0.002559141000298429,0.002740426024245073,0.0029119217425366576
   Salaries and wages,0.006976492861126092,0.006732247848803482,0.006495196030108519,0.0063548268061249455,0.006193136013123464,0.00603160539066176,0.0060451379014646025,0.0059041717984192315,0.005817089043999949,0.005758878710092347,0.005576218752404441,0.005484251802583185,0.005358783717816727,0.00518112977374673,0.004898620178083937,0.004996067624751502,0.004906992014873905,0.004931012210821091,0.004926303735238786,0.004887473087620188,0.004835760314339131,0.004960321030351565,0.004738721863841899,0.004704463727035612,0.004660796786718266,0.004613584414670286,0.00463961193207468
   Taxes paid,0.0017014643157876222,0.0016058289124915826,0.0015150621489984847,0.001453650604516252,0.0013614266265221024,0.001343241104717297,0.0013634626906422738,0.0013249862741075988,0.0013125952960073653,0.0012882330100542235,0.00127826889390046,0.0012562455835295671,0.0012232043874208169,0.0011676767347464272,0.0011760056551374841,0.0011349419336178339,0.0011180741074334455,0.0011166722341744112,0.0010994015380842654,0.0010829192361046468,0.0010423044764950522,0.001069171575795394,0.0010203537227671889,0.0009987466563342532,0.0009464462712794278,0.0009849911772683102,0.0009722433807693332
   Travel,0.0008892434673971235,0.0008688485945640435,0.0008412738555793413,0.0008399429477533991,0.0008250274706193142,0.0008181179442802915,0.0008335715046461249,0.000812966320282461,0.0008445110481979662,0.0008672564729254416,0.0008585375658776036,0.0009074077042312723,0.000862631214834641,0.0007808086535308892,0.0007837753823832872,0.0008091687728994318,0.000828770755698454,0.0008412990161594765,0.0008714273479683087,0.0009067400257960923,0.0008813192594935164,0.0009167764373242603,0.0009220258634127847,0.0009467657865266555,0.0005912069179347865,0.0007143016765192264,0.0009087354738780625
   Utilities,0.0022496377485686455,0.002165551313474987,0.0020337385164016886,0.0019173336329161186,0.001890739611306345,0.0019356281827254747,0.0018917122056072645,0.0018907334296400717,0.0017579698320301974,0.0017570297465403736,0.0017257894219882,0.001717271484185547,0.0016706105310936555,0.001636475642777451,0.0016224530567571695,0.0017247753358839754,0.0017215240338206603,0.001845326163639232,0.0017969235588680642,0.0017208070677598095,0.0016805544912651285,0.0016913071327081615,0.0016566619946945555,0.0016954851680006046,0.0017035024241318746,0.0016058066703771383,0.001598381730007591
   Other business expenses,0.007658572482863507,0.007850312769890523,0.008019968846331113,0.00803197014859666,0.00848954799515206,0.008940929012092218,0.00885742459494407,0.007776624696131874,0.008045478602455096,0.007749303503889081,0.008017232642299641,0.008257166116217044,0.008017790349022896,0.007609320567448679,0.006882325575615768,0.006683015067181924,0.006719121974508382,0.006523336881570491,0.0064719037867604174,0.0065507426365613505,0.006310387716231391,0.006947700608532425,0.007246584370762233,0.007109715133466686,0.00706342999654601,0.007337399215068758,0.0077687841009657635
"   Home office business deductions, total",0.00046685359146065176,0.0004450615979943928,0.0004566310894283753,0.000496912421458157,0.0005504408761254565,0.0005652469412712937,0.0005923763403198138,0.0006151541707946178,0.0006390203611368763,0.000674970859018389,0.0007324728171080438,0.0007750069986461454,0.000778896647781814,0.0007506872982422308,0.0006923962442349048,0.0006413476846909934,0.000617627754942331,0.0005683104765369979,0.000537812402424379,0.0005366185189531643,0.00052398423752346,0.000544141571362417,0.0005116224827071516,0.0005218472327414201,0.0005216456335708522,0.0005400551175742535,0.0005200184120939193
"      Depreciation, Form 8829",6.415968939897105e-5,5.090030348985352e-5,7.118084807405909e-5,5.755447000635022e-5,6.103120958911914e-5,6.468612669769377e-5,6.327817421147271e-5,7.497008235535441e-5,8.94980321180081e-5,9.664628887806511e-5,0.00011868373560493249,9.942754805299461e-5,9.993377053895291e-5,9.467617465784625e-5,9.239774599871314e-5,8.624231493207704e-5,8.224962885990315e-5,7.501450030191314e-5,7.012666529533106e-5,6.713461188534431e-5,,,,,,,
"      Casualty loss, Form 8829",,,,,,,,1.9792344050731246e-6,3.1256763008467737e-6,1.8596237176261699e-6,1.855708875984459e-5,6.8860321946013285e-6,4.685419538787837e-6,2.129697286246845e-5,0.0,6.41036653706615e-11,0.0,1.6341163447000337e-6,3.075850495946817e-7,1.0057928882172792e-6,,,,,,,
"      Carryover of excess casualty losses and depreciation, Form 8829",,,,,,,,4.9524154515578564e-5,5.559900978915293e-5,9.37563869922358e-5,7.995999879266767e-5,8.537360334520086e-5,9.036414829062046e-5,0.00010563357663699167,8.070983723737657e-7,4.99752175229677e-7,7.715038233736127e-7,0.0001054643345888315,8.991927482621955e-5,8.318324238963621e-5,,,,,,,
Net income less deficit,0.021894341866752418,0.02175957779095947,0.02231918839363081,0.02159103554582973,0.020945888537962132,0.02054305183865815,0.020231594929796648,0.020102920189063803,0.020263830505788727,0.020700660861247822,0.02012456825021427,0.019383210627882883,0.017908654935300004,0.01690984127922602,0.017788571856507663,0.018118896273346233,0.01875824250936848,0.017906243544766522,0.018006338148871846,0.01813786244223086,0.017453388537346598,0.017654495984163247,0.016871657059690025,0.01648920895105669,0.015775290252324638,0.01733604220243538,0.015761663749844845
   Net income,0.024788910163874644,0.02453666792110383,0.024957976090657023,0.02423432901001041,0.02392271722665368,0.02364203369725879,0.023541981193707665,0.023488006145010017,0.023776827268712067,0.024139255661219015,0.02365222220444841,0.023151422514554834,0.02202224130462424,0.021334898919862715,0.02147757019400197,0.02160291356287403,0.021968468072723155,0.021173138432846586,0.021270867822594304,0.02143283546193639,0.020693474465954723,0.021200624237014472,0.020816236920107922,0.020580860745380382,0.020416868578242316,0.021784762015953623,0.02087571376033435
   Deficit,0.0028945681732544114,0.0027770901301443583,0.0026387876970262116,0.0026432933603511596,0.0029768286886915477,0.0030989818586006387,0.003310386172412241,0.0033850859559462136,0.0035129967629233417,0.0034385947232793554,-0.0035276539542341426,-0.0037682118866719525,-0.004113586369324236,0.004425057640636695,0.0036889982710445785,0.00348401735363146,0.003210225563354676,0.0032668948880800615,0.003264529673722457,0.0032949730197055277,0.0032400858754305325,0.0035461282528512243,0.00394457981200702,0.004091651794323691,0.00464157832591768,0.004448719813518242,0.005114050010489504
Qualified business deduction,,,,,,,,,,,,,,,,,,,,,,,0.0031365635908785394,0.003160126921183128,0.003322946444540308,0.003666770323841565,0.0035341665779427783
